iter	Logloss
0	0.688851121
1	0.6842383978
2	0.6798662952
3	0.6758334641
4	0.6726354234
5	0.6691508159
6	0.6656030208
7	0.6626629733
8	0.6594964583
9	0.6566950531
10	0.6538140792
11	0.6514496274
12	0.6490487929
13	0.6469417858
14	0.6450741337
15	0.6430585561
16	0.6413212638
17	0.6398223505
18	0.638501225
19	0.6365909103
20	0.6349948897
21	0.6333799282
22	0.6319208109
23	0.6303780905
24	0.6288811581
25	0.6275585178
26	0.6263026048
27	0.6252395902
28	0.6242997419
29	0.6232423273
30	0.6223234065
31	0.6214097637
32	0.6203113125
33	0.619421763
34	0.6185202607
35	0.6174579638
36	0.6166520771
37	0.6158479208
38	0.6152643395
39	0.6146208924
40	0.6139395698
41	0.6132190835
42	0.6126588133
43	0.612135375
44	0.6114971285
45	0.61115827
46	0.6105271836
47	0.6098495755
48	0.6092934424
49	0.6088209872
50	0.6082977465
51	0.6076992905
52	0.6071921402
53	0.6067779719
54	0.6061146948
55	0.6057134534
56	0.6052609517
57	0.6048833981
58	0.6044673219
59	0.6041575575
60	0.6037681146
61	0.6034749071
62	0.6030907401
63	0.6027413181
64	0.6024573932
65	0.6021759507
66	0.6017540283
67	0.6014929902
68	0.6011800808
69	0.6008977663
70	0.6005886846
71	0.6002233546
72	0.5999561717
73	0.5996279295
74	0.5993131972
75	0.5991306813
76	0.5988008196
77	0.5984766385
78	0.5981790798
79	0.59781052
80	0.5974265257
81	0.5971774414
82	0.5969458456
83	0.5967327291
84	0.5964929483
85	0.5962215886
86	0.5959457204
87	0.5957046549
88	0.5953844142
89	0.5952270631
90	0.5949902514
91	0.5947362191
92	0.5945042219
93	0.5942499196
94	0.5939390295
95	0.5937132056
96	0.5935584281
97	0.5933622054
98	0.5932076182
99	0.5929661194
100	0.5927450968
101	0.5925489412
102	0.5924028773
103	0.5922280432
104	0.5919738528
105	0.5918038908
106	0.5915088563
107	0.5913322746
108	0.5911757885
109	0.5910014902
110	0.5908412779
111	0.590602509
112	0.5904296761
113	0.5902596988
114	0.5900738172
115	0.5899483754
116	0.5897198831
117	0.5894763596
118	0.5893346281
119	0.5891836302
120	0.5889225419
121	0.5886819248
122	0.5885246787
123	0.5883525821
124	0.5879912432
125	0.5877718946
126	0.5875638405
127	0.5874482902
128	0.5872458357
129	0.5871563867
130	0.5869678306
131	0.5867725037
132	0.5866154867
133	0.5864957302
134	0.586398363
135	0.5862601958
136	0.5860069921
137	0.5858075111
138	0.5857060311
139	0.5855458726
140	0.5853791533
141	0.5851698259
142	0.5850235716
143	0.5849018316
144	0.5847645557
145	0.5846106658
146	0.5844712897
147	0.5843525835
148	0.5842037304
149	0.5841364119
150	0.5840054992
151	0.5839230749
152	0.5838009808
153	0.5836344154
154	0.5834661836
155	0.5833027943
156	0.5832021874
157	0.5830305502
158	0.5829297603
159	0.582770758
160	0.582618585
161	0.5824562773
162	0.5823254534
163	0.5822475928
164	0.5820697226
165	0.5819702022
166	0.5818370231
167	0.581649803
168	0.5815228487
169	0.5813699476
170	0.5812021274
171	0.5810788836
172	0.5808628873
173	0.5807248328
174	0.580574442
175	0.5805484653
176	0.5804119897
177	0.5802200406
178	0.5799745225
179	0.5797970837
180	0.5796304748
181	0.5794960668
182	0.5793334377
183	0.5791926304
184	0.5789774324
185	0.5788476738
186	0.5787036193
187	0.5785921276
188	0.5784692035
189	0.5783416792
190	0.5781522649
191	0.5779348186
192	0.577801195
193	0.5776869048
194	0.5775504669
195	0.5774465733
196	0.5773316068
197	0.5772252769
198	0.577107947
199	0.5770179312
200	0.576856999
201	0.5766908051
202	0.5765812397
203	0.5764480758
204	0.5763595118
205	0.5761752455
206	0.5760420616
207	0.5758932101
208	0.5757836379
209	0.5756364221
210	0.5755294434
211	0.5754661469
212	0.5752151381
213	0.5751076287
214	0.5750241275
215	0.5749217954
216	0.5748024908
217	0.5746712561
218	0.5745373014
219	0.5744441103
220	0.5743169883
221	0.5742018476
222	0.5740459566
223	0.5739449163
224	0.5737699744
225	0.5736723087
226	0.5736435327
227	0.5735312141
