iter	Passed	Remaining
0	3	3565
1	6	3438
2	10	3642
3	15	3857
4	19	3905
5	22	3763
6	26	3703
7	29	3639
8	32	3537
9	35	3511
10	39	3518
11	42	3486
12	46	3494
13	48	3417
14	52	3416
15	55	3405
16	58	3393
17	62	3397
18	65	3391
19	68	3368
20	72	3368
21	75	3378
22	79	3368
23	82	3352
24	85	3350
25	89	3335
26	92	3339
27	96	3339
28	99	3333
29	103	3339
30	106	3335
31	110	3328
32	113	3331
33	116	3323
34	120	3319
35	123	3306
36	125	3277
37	128	3252
38	130	3223
39	133	3200
40	135	3173
41	138	3154
42	140	3132
43	143	3108
44	145	3087
45	147	3053
46	149	3039
47	152	3019
48	154	3008
49	157	2989
50	160	2979
51	162	2966
52	165	2952
53	167	2938
54	170	2927
55	172	2911
56	175	2896
57	177	2884
58	180	2877
59	183	2870
60	185	2862
61	188	2855
62	191	2848
63	194	2846
64	197	2839
65	200	2833
66	203	2827
67	205	2818
68	207	2805
69	210	2791
70	212	2778
71	214	2764
72	216	2754
73	219	2742
74	221	2735
75	224	2724
76	227	2724
77	229	2716
78	232	2705
79	234	2694
80	236	2684
81	239	2682
82	241	2673
83	244	2670
84	247	2665
85	249	2655
86	253	2656
87	255	2648
88	257	2637
89	261	2640
90	263	2635
91	267	2638
92	270	2634
93	273	2631
94	276	2632
95	278	2624
96	281	2618
97	284	2615
98	286	2606
99	288	2600
100	291	2593
101	293	2586
102	296	2585
103	299	2576
104	301	2572
105	304	2567
106	307	2565
107	309	2557
108	312	2552
109	314	2545
110	317	2539
111	320	2541
112	324	2546
113	326	2539
114	329	2536
115	333	2539
116	335	2535
117	338	2532
118	342	2533
119	345	2531
120	347	2526
121	351	2527
122	354	2527
123	357	2524
124	360	2521
125	362	2513
126	365	2511
127	367	2504
128	371	2505
129	373	2498
130	377	2502
131	381	2506
132	383	2499
133	385	2492
134	388	2491
135	392	2492
136	395	2491
137	397	2484
138	400	2479
139	402	2472
140	404	2466
141	406	2458
142	409	2456
143	412	2449
144	415	2448
145	417	2444
146	420	2441
147	423	2436
148	425	2430
149	427	2423
150	430	2419
151	432	2414
152	435	2409
